x,y,yaw,0.266,2.151,0.002
-4381.706,1733.612,-1.463,-119.548,9.052,0.04
-4383.506,1733.703,-1.464,-120.5,8.665,0.023
-4385.218,1733.884,-1.464,-120.4,9.244,0.025
-4386.958,1734.268,-1.463,-120.613,11.843,0.031
-4388.632,1734.473,-1.464,-120.101,12.212,0.019
-4390.423,1734.632,-1.464,-120.881,12.057,0.008
-4392.096,1734.824,-1.465,-120.324,12.254,0.005
-4393.975,1734.906,-1.465,-121.967,11.295,0.001
-4395.774,1735.078,-1.466,-122.554,11.41,-0.006
-4397.391,1735.158,-1.467,-121.177,10.554,-0.015
-4398.962,1735.302,-1.469,-119.529,10.48,-0.033
-4400.77,1735.38,-1.47,-120.561,9.747,-0.036
-4402.45,1735.427,-1.471,-120.126,8.795,-0.043
-4403.687,1735.451,-1.472,-115.188,7.753,-0.048
-4405.497,1735.502,-1.474,-116.883,7.131,-0.054
-4407.071,1735.574,-1.474,-115.898,6.826,-0.054
-4408.223,1735.624,-1.475,-110.716,6.339,-0.054
-4410.016,1735.713,-1.475,-112.893,6.316,-0.041
-4411.747,1735.767,-1.474,-114.104,5.948,-0.028
-4413.038,1735.803,-1.473,-110.613,5.448,-0.018
-4414.785,1735.921,-1.473,-112.333,5.853,-0.008
-4416.646,1736.039,-1.47,-114.974,6.208,0.018
-4418.312,1735.893,-1.469,-115.219,3.793,0.029
-4419.545,1735.76,-1.467,-110.971,1.863,0.037
-4421.193,1735.5,-1.465,-111.608,-1.083,0.049
-4422.908,1735.426,-1.462,-112.854,-1.683,0.072
-4424.682,1735.665,-1.46,-114.515,1.027,0.079
-4426.009,1735.871,-1.459,-111.34,2.99,0.083
-4427.632,1735.449,-1.456,-111.668,-1.793,0.098
-4429.37,1735.132,-1.452,-113.139,-4.796,0.12
-4431.062,1734.722,-1.45,-113.925,-8.303,0.12
-4432.321,1734.383,-1.448,-110.127,-10.575,0.12
-4433.881,1734.136,-1.445,-109.995,-11.565,0.137
-4435.517,1733.792,-1.442,-110.65,-13.399,0.145
-4437.088,1733.645,-1.439,-110.553,-12.949,0.15
-4438.535,1733.452,-1.437,-109.191,-13.034,0.153
-4440.038,1733.221,-1.435,-108.611,-13.495,0.144
-4441.858,1732.959,-1.432,-111.373,-14.2,0.154
-4443.374,1732.891,-1.431,-110.594,-12.82,0.14
-4444.857,1732.724,-1.429,-109.604,-12.646,0.144
-4446.239,1732.774,-1.428,-107.706,-10.272,0.125
-4447.671,1732.737,-1.428,-106.614,-9.147,0.111
-4449.119,1732.67,-1.429,-105.835,-8.485,0.087
-4450.18,1732.628,-1.429,-101.192,-7.67,0.07
-4451.723,1732.739,-1.431,-102.195,-5.401,0.044
-4453.168,1732.65,-1.431,-102.044,-5.53,0.035
-4454.745,1732.627,-1.431,-103.273,-4.948,0.027
-4455.923,1732.616,-1.431,-100.212,-4.329,0.021
-4457.224,1732.924,-1.433,-98.865,-0.522,0.008
-4458.752,1733.216,-1.434,-100.058,2.557,-0.003
-4460.323,1733.286,-1.436,-101.513,2.901,-0.022
-4461.567,1733.493,-1.437,-99.392,4.61,-0.03
-4463.028,1733.641,-1.439,-99.815,5.449,-0.048
-4464.395,1733.784,-1.441,-99.209,6.12,-0.057
-4465.398,1733.897,-1.442,-94.948,6.381,-0.063
-4466.763,1733.968,-1.443,-95.028,6.172,-0.062
-4468.318,1734.428,-1.444,-97.063,10.007,-0.06
-4469.521,1734.767,-1.447,-95.171,12.023,-0.079
-4470.389,1735.039,-1.45,-90.115,13.051,-0.092
-4471.834,1735.399,-1.45,-91.737,14.838,-0.084
-4473.27,1735.626,-1.45,-93.022,14.999,-0.075
-4474.821,1735.793,-1.453,-95.321,14.511,-0.084
-4475.992,1735.911,-1.455,-93.355,13.592,-0.091
-4477.676,1736.231,-1.455,-96.963,14.882,-0.082
-4479.421,1736.484,-1.455,-100.667,15.303,-0.073
-4480.75,1736.676,-1.456,-99.533,15.025,-0.065
-4482.414,1736.98,-1.456,-102.035,15.948,-0.058
-4483.816,1737.193,-1.457,-101.464,15.79,-0.059
-4485.246,1737.385,-1.458,-101.257,15.452,-0.059
-4487.018,1737.524,-1.458,-104.604,14.608,-0.054
-4488.617,1737.729,-1.457,-105.684,14.571,-0.036
-4490.177,1737.856,-1.456,-106.204,13.734,-0.015
-4492.105,1738.008,-1.455,-110.435,13.276,-0.008
-4493.875,1738.311,-1.454,-112.408,14.445,0.001
-4495.586,1738.449,-1.452,-113.495,13.748,0.019
-4497.335,1738.651,-1.45,-114.808,13.798,0.037
-4498.981,1738.769,-1.45,-114.877,12.982,0.038
-4500.852,1738.931,-1.448,-117.24,12.743,0.048
-4502.437,1739.072,-1.447,-116.314,12.327,0.049
-4503.823,1739.371,-1.445,-113.478,13.591,0.06
-4505.4,1739.556,-1.445,-113.022,13.495,0.05
-4506.988,1739.507,-1.445,-112.75,11.006,0.05
-4508.613,1739.72,-1.444,-112.897,11.58,0.048
-4510.218,1739.623,-1.444,-112.812,8.874,0.042
-4511.583,1739.761,-1.443,-110.278,8.996,0.042
